numberOfTweet,text,user name,screen name,description,gender
41,I refuse to die by jihad's hands or allow the media to bully me into silence. I'm done. #OrlandoShooting,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
42,"Up to 350 citizens petitioning @CNN over @sallykohn's hate-filled comments, blaming Christians for #OrlandoShooting: https://t.co/iSnxcdsVDO",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
43,Media lynched GWB who begged Blanco to let him help. Media gives Obama a pass on #OrlandoShooting. Rigged game.  https://t.co/c2L3OBU6dy,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
44,!!! WFTV sources: Arrest of alleged accomplice in shooting expected https://t.co/S8FGZfiyz8 #OrlandoShooting,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
45,Love God and love each other. That's it.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
46,God is alive https://t.co/zwGMEzRszK #OrlandoShooting,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
47,Stocks fall before Fed meeting; LinkedIn soars on buyout https://t.co/SAbRnIfik2 I made money on $TVIX,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
48,U.S. firearm makers' shares jump after Orlando shooting https://t.co/pO3AkLd2Ov via @YahooFinance,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
49,@PaperworkNinja ha!,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
50,"If you can't be fair, don't become a reporter. #war",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
51,@PaperworkNinja Thank you,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
52,Anyone who thinks I got into politics to be liked or respected doesn't understand how much I care about my values. https://t.co/LJfUG2WQG0,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
53,@chrisjefferson Thanks,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
54,@DavidOAtkins Then save the debate for another time or others are just as justified to debate Muslims. Double standard. Logic.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
55,"@itsonlywords I think we suck in general, but yeah Left lacks intellectual honesty.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
56,"@itsonlywords the colliding of labels and values and that the right needs no persuasion here (which we suck at), just facts and labels.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
57,"He didn't understand English, so I gave him down French. Bigots on the Left. Not tolerating it anymore. https://t.co/0PYM2c9mJ9",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
58,Not religious? You don't get to choose what is religious and what is not. He literally pledged to #ISIS. Shameful. https://t.co/2QAHQIC4F1,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
59,"I'm not attacking anyone but the killer, but the Left has to explain the logic fail if they're gonna construct it. https://t.co/6mJPi1USa5",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
60,"Dear Left and Media, stop treating us like we're the enemy. Stop accusing us of evil. 

Signed, 
American family, the right half.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
61,Shame: House Democrats interrupt moment of silence for Orlando attack | Washington Examiner https://t.co/TbKXmGQVsg,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
62,Orlando nightclub shooting: Read about the victims - Orlando Sentinel https://t.co/AUkOHhygZi,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
63,"Tried to head to the local #OrlandoUnited vigil tonight but didn't make it out. We all need to be praying, hard. Jihad hates liberty.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
64,Hit 300! CNN must terminate @SallyKohn for anti-Christian #Orlando bigotry - Sign the Petition! https://t.co/iSnxcdsVDO via @Change,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
65,"You're not ""politicizing a tragedy"" if you're simply responding with facts. The Left is in a full nose dive. We can lift them up upon crash.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
66,Everyone must be in this debate. It could be how we come together. Millions are watching with their worldview shattered. Opportunity.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
67,"There has never, ever, ever been a greater opportunity to expose the bigotry of the Left and tone them down than this debate here. #Orlando",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",Female
68,@NelsonDaleSmith Man was designed to learn by God. It's not really your call or your experiences that matter here. @instapundit,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
69,"Please please my conservative friends, do not underestimate the historical significance this incident will have on our culture. We must win.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
70,This isn't like every other gun debate or mass shooting or killing. This is the first perfect debate that allows Right to just use facts.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
71,"We must fight them not with emotion or commentary, just the facts on this one case. It's an historic opportunity. https://t.co/Qo8D46HdFy",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
72,Inverse is also true. Do NOT reference the killer's sexuality or party if you're using it to divide or further bigotry. Only as observations,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
73,"Significance in pointing out that the killer was gay Muslim, liberal democrat is that it teaches the Left to stop assuming and stop bigotry.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
74,Cerberus to provide Gawker with $22 million bankruptcy loan     https://t.co/Ocah02zsX5 via @WSJ,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
75,"Conversation on my Facebook right now is everything. Left doesn't want unity, they want capitulation. https://t.co/DnIVECKvFg",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
76,War veteran saves dozens during #Orlando nightclub shooting https://t.co/ErwOOMZh3l #blessed,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
77,"Crossed over the 250 threshold. @SallyKohn must be held accountable for her reckless, bigoted comments. https://t.co/C0zIWqNOau @DylanByers",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
78,"@DanIsett No the witnesses/sources that talked/flirted with him and told the media did, but appreciate your reflexive questioning!",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
79,"Reports: #OrlandoShooting killer was a gay, liberal, Democrat, Muslim. Which labels matter? How do we unite? https://t.co/Vu6oK979Q3",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
80,[Christian company] Chick-fil-A responds to Orlando massacre with free food at a blood drive - https://t.co/tcJf2lKQbQ - @washtimes,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
81,#OrlandoShooting were Americans and more than a label that describes whom they loved here on earth. https://t.co/JmKiyEV9Cz,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
82,"The ""haters"" are trying to hack my Facebook again. Cute. Won't work.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
83,Please take a minute to watch this video. I don't think I've recorded anything this significant in years. https://t.co/Vu6oK979Q3 #Orlando,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
84,Thanks for tuning in. Together we will shame those spreading false narratives meant to divide us. #OrlandoUnited https://t.co/sxki1a9gTW,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
85,Just dropped some major truth bombs. Uploading my Periscope video to Facebook. Will link when it's ready. This NEEDS to be shared. #Orlando,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
86,Thanks for tuning into my Periscope. We have the true speech and the wrong speech. Partisan labels won't do. https://t.co/kHn7Vz2cDa,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
87,"LIVE on #Periscope: Reports: #OrlandoShooting killer was a gay, liberal, democrat, Muslims. Which labels matter? Wh… https://t.co/9faZ8LALgu",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
88,Sit tight. About to go live on Periscope. Let's talk about the new developments and what UNITES us in wake of #OrlandoShooting.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
89,"Do not underestimate the historical significance of this day y'all. I'm telling you. If @AndrewBreitbart was around, he'd bust media wide!",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
90,Don't play the Left's game and pin people against one another by sexuality or race or religion. Do shatter their worldviews w/ ironic labels,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
91,It's not chiefly significant that he was a Democrat or that he was gay or that he killed gays. What's chief is that #ISIS is killing America,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
92,"I'm not sure because I'm reporting nothing, but there are witnesses in gay clubs and gay dating apps that recall him https://t.co/3B0EZDadI2",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
93,"Everything the Left says and the media mimics about blacks, hispanics, and gays just got shattered. Gay Muslim leftist killed gays.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
94,".@SallyKohn blamed Christians when a gay, liberal, Democrat follower of ISIS killed gays in #Orlando. Stop her: https://t.co/iSnxcdsVDO",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
95,"This is a significant moment in history. The Left's twisted theory of ""self-hate"" and it being a right-wing thing was just shattered.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
96,Americans enjoying their liberty and pursuing their happiness were killed in Orlando. They are more than their sexuality. God bless America.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
97,@MarlaMHughes maybe. I believe he had mental issues and adequacy issues so it fits into the MO that he was repressed and acted out in glory,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
98,"It's been reported by numerous sources that the #OrlandoShooting was a liberal, gay, Muslim, democrat. https://t.co/BkaYqDz0YS",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
99,"A gay/bi curious democrat Muslim slaughters gays, while pledging to ISIS. But hate republicans, by all means.  https://t.co/qE8LmHW8Ak",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
100,"No one can buy a gun with ""no questions asked."" Why is @PolitiFact not fact checking this? Why hasn't it gone viral? https://t.co/FpDAGSduva",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
101,Thanks for the retweet @MattMackowiak. Kohn really went too far this time.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
102,Thanks man! https://t.co/C0zIWqNOau https://t.co/LK1hCGvMMQ,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
103,"If you believe in God, @SallyKohn thinks you're guilty for the #OrlandoShooting. Tell @CNN: https://t.co/iSnxcdsVDO via @Change",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
104,@Ebolamerican You just love chaos you silly fucker. /glares  @BltProofDiction,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
105,@youngblackcon Hopefully not for long!,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
106,"My next petition? Forcing #bae to get rid of these disasters. I mean, they're so gotti I think @Nero would wear 'em. https://t.co/qRX86YDdeV",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
107,"Thanks for the retweet @youngblackcon. Sally ""the Bigot"" Kohn must be exposed for her comments re: #Orlando.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
108,.@JJBravesfan I'm just a loud loser. But I do have fun so there *is* that.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
109,@BltProofDiction Stop wearing those freaking sunglasses before I pay someone to come to LA and smash them! #GoshBae,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
110,@jmorris116 Ok. Your dissent in my liberty to share someone's content is noted? Will gladly toss @Nero at the Left every day of the week.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
111,@Nero You NEVER wanna be the Florida area man. Don't even.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
112,And @SallyKohn is literally saying Christians are guilty for #OrlandoShooting. https://t.co/NBYnmQVhmg https://t.co/3rO5ztZ3Cq,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
113,We just passed 100 supporters. Thank you. @CNN can act on this senseless bigotry. https://t.co/4qioxYEHGc #OrlandoUnited,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
114,#Blessed: Brooks &amp; Dunn singer Ronnie Dunn blasts President Obama's comments on Orlando massacre https://t.co/ApBIoabJTF,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
115,"@GMhansoster Thank you. Together, hopefully we'll get @CNN to act on this bigotry toward people of faith. Shocking. @newday @andersoncooper",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
116,@jechoot1 Is that the moderate muslim dude with the good hair? Ha,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
